model,equation,sample,n,r2,key_coefficient,source_model,caution
시도 패널: 혼인율,z(CBR_it) = α_i + βX_it + ε_it,"2015-2024, 17개 시도",170,0.925,crude_marriage_rate=0.845,가족형성 경로,"종속변수는 합계출산율이 아니라 조출생률이며, 지역 고정효과를 둔 탐색적 패널 모형"
시도 패널: 주택보유율,z(CBR_it) = α_i + βX_it + ε_it,"2015-2024, 17개 시도",170,0.797,under40_homeownership_rate=1.206,주거 안정 경로,"종속변수는 합계출산율이 아니라 조출생률이며, 지역 고정효과를 둔 탐색적 패널 모형"
시도 패널: 혼인율+주택보유율,z(CBR_it) = α_i + βX_it + ε_it,"2015-2024, 17개 시도",170,0.938,crude_marriage_rate=0.686; under40_homeownership_rate=0.345,근접요인과 구조요인의 결합,"종속변수는 합계출산율이 아니라 조출생률이며, 지역 고정효과를 둔 탐색적 패널 모형"
전국 변화율: 혼인율 변화,z(Δlog TFR_t) = α + β z(Δcrude_marriage_rate_t) + ε_t,2016-2024,9,0.523,0.723,McDonald/Doepke 계열: 가족형성·일가정 양립,전국 시계열의 표본이 작아 인과 추정이 아니라 방향성 점검으로 해석
전국 변화율: 40세 미만 주택보유율 변화,z(Δlog TFR_t) = α + β z(Δunder40_homeownership_rate_t) + ε_t,2016-2024,9,0.004,0.066,주거비·공간 불평등 모형,전국 시계열의 표본이 작아 인과 추정이 아니라 방향성 점검으로 해석
전국 변화율: 청년 취업자 지수 변화,z(Δlog TFR_t) = α + β z(Δyouth_employed_population_2000_100_t) + ε_t,2016-2024,9,0.0,-0.011,경제적 불안정성 모형,전국 시계열의 표본이 작아 인과 추정이 아니라 방향성 점검으로 해석
전국 변화율: 30대 실질 처분가능소득 변화,z(Δlog TFR_t) = α + β z(Δreal_disposable_income_2025_million_krw_t) + ε_t,2018-2024,7,0.324,-0.569,소득·기회비용 모형,전국 시계열의 표본이 작아 인과 추정이 아니라 방향성 점검으로 해석
전국 변화율: 주거비 비중 변화,z(Δlog TFR_t) = α + β z(Δhousing_share_pct_t) + ε_t,2011-2024,14,0.001,0.024,주거비 부담 모형,전국 시계열의 표본이 작아 인과 추정이 아니라 방향성 점검으로 해석
전국 변화율: 사교육비 변화,z(Δlog TFR_t) = α + β z(Δmonthly_private_education_10k_krw_t) + ε_t,2008-2024,17,0.01,-0.102,Becker-Lewis/Kim-Tertilt-Yum: 수량-질·지위경쟁,전국 시계열의 표본이 작아 인과 추정이 아니라 방향성 점검으로 해석
전국 변화율: 30대 삶의 만족도 변화,z(Δlog TFR_t) = α + β z(Δlife_satisfaction_avg_0_10_t) + ε_t,2014-2024,11,0.004,-0.062,생애전망·삶의 질 모형,전국 시계열의 표본이 작아 인과 추정이 아니라 방향성 점검으로 해석
전국 변화율: 신혼부부 무자녀 비율 변화,z(Δlog TFR_t) = α + β z(Δnewlywed_no_child_pct_t) + ε_t,2016-2024,9,0.065,-0.256,혼인 이후 출산 이행 모형,전국 시계열의 표본이 작아 인과 추정이 아니라 방향성 점검으로 해석
