level,channel,variable,std_beta,std_se,n,r2,paper_family,interpretation
시도 패널(지역 고정효과),40세 미만 주택보유율,under40_homeownership_rate,1.206,0.072,170,0.797,주거 안정 경로,지역 고정효과를 둔 뒤 시도 내 변화가 조출생률 변화와 같은 방향인지 본 값
시도 패널(지역 고정효과),혼인율,crude_marriage_rate,0.845,0.026,170,0.925,가족형성 경로,지역 고정효과를 둔 뒤 시도 내 변화가 조출생률 변화와 같은 방향인지 본 값
전국 시계열 변화율,혼인율 변화,crude_marriage_rate,0.723,0.261,9,0.523,McDonald/Doepke 계열: 가족형성·일가정 양립,"양(+)이면 해당 변수 증가와 합계출산율 증가가 같은 방향, 음(-)이면 반대 방향"
시도 패널(지역 고정효과),혼인율,crude_marriage_rate,0.686,0.037,170,0.938,근접요인과 구조요인의 결합,지역 고정효과를 둔 뒤 시도 내 변화가 조출생률 변화와 같은 방향인지 본 값
시도 패널(지역 고정효과),40세 미만 주택보유율,under40_homeownership_rate,0.345,0.061,170,0.938,근접요인과 구조요인의 결합,지역 고정효과를 둔 뒤 시도 내 변화가 조출생률 변화와 같은 방향인지 본 값
전국 시계열 변화율,40세 미만 주택보유율 변화,under40_homeownership_rate,0.066,0.377,9,0.004,주거비·공간 불평등 모형,"양(+)이면 해당 변수 증가와 합계출산율 증가가 같은 방향, 음(-)이면 반대 방향"
전국 시계열 변화율,주거비 비중 변화,housing_share_pct,0.024,0.289,14,0.001,주거비 부담 모형,"양(+)이면 해당 변수 증가와 합계출산율 증가가 같은 방향, 음(-)이면 반대 방향"
전국 시계열 변화율,청년 취업자 지수 변화,youth_employed_population_2000_100,-0.011,0.378,9,0.0,경제적 불안정성 모형,"양(+)이면 해당 변수 증가와 합계출산율 증가가 같은 방향, 음(-)이면 반대 방향"
전국 시계열 변화율,30대 삶의 만족도 변화,life_satisfaction_avg_0_10,-0.062,0.333,11,0.004,생애전망·삶의 질 모형,"양(+)이면 해당 변수 증가와 합계출산율 증가가 같은 방향, 음(-)이면 반대 방향"
전국 시계열 변화율,사교육비 변화,monthly_private_education_10k_krw,-0.102,0.257,17,0.01,Becker-Lewis/Kim-Tertilt-Yum: 수량-질·지위경쟁,"양(+)이면 해당 변수 증가와 합계출산율 증가가 같은 방향, 음(-)이면 반대 방향"
전국 시계열 변화율,신혼부부 무자녀 비율 변화,newlywed_no_child_pct,-0.256,0.365,9,0.065,혼인 이후 출산 이행 모형,"양(+)이면 해당 변수 증가와 합계출산율 증가가 같은 방향, 음(-)이면 반대 방향"
전국 시계열 변화율,30대 실질 처분가능소득 변화,real_disposable_income_2025_million_krw,-0.569,0.368,7,0.324,소득·기회비용 모형,"양(+)이면 해당 변수 증가와 합계출산율 증가가 같은 방향, 음(-)이면 반대 방향"
